ID,Date,Overflow,lastEmptied,wasAccessible,Compartment,fillPercentage
1,2025-02-11 12:52:40,0,2025-02-02 12:52:40,0,1,38
1,2025-02-11 12:52:40,0,2025-02-02 12:52:40,0,2,58
2,2025-02-11 12:52:40,0,2025-02-07 12:52:40,1,1,74
2,2025-02-11 12:52:40,0,2025-02-07 12:52:40,1,2,76
3,2025-02-11 12:52:40,1,2025-02-02 12:52:40,1,1,100
3,2025-02-11 12:52:40,0,2025-02-02 12:52:40,1,2,10
4,2025-02-11 12:52:40,0,2025-02-08 12:52:40,1,1,11
4,2025-02-11 12:52:40,0,2025-02-08 12:52:40,1,2,27
5,2025-02-11 12:52:40,0,2025-02-03 12:52:40,1,1,45
5,2025-02-11 12:52:40,0,2025-02-03 12:52:40,1,2,45
6,2025-02-11 12:52:40,0,2025-01-31 12:52:40,1,1,87
6,2025-02-11 12:52:40,0,2025-01-31 12:52:40,1,2,76
7,2025-02-11 12:52:40,1,2025-02-02 12:52:40,0,1,96
7,2025-02-11 12:52:40,0,2025-02-02 12:52:40,0,2,30
8,2025-02-11 12:52:40,0,2025-02-07 12:52:40,1,1,42
8,2025-02-11 12:52:40,0,2025-02-07 12:52:40,1,2,39
9,2025-02-11 12:52:40,0,2025-02-03 12:52:40,0,1,69
9,2025-02-11 12:52:40,0,2025-02-03 12:52:40,0,2,51
10,2025-02-11 12:52:40,0,2025-02-06 12:52:40,0,1,40
10,2025-02-11 12:52:40,0,2025-02-06 12:52:40,0,2,34
11,2025-02-11 12:52:40,0,2025-01-29 12:52:40,0,1,88
11,2025-02-11 12:52:40,0,2025-01-29 12:52:40,0,2,20
12,2025-02-11 12:52:40,0,2025-01-28 12:52:40,0,1,71
12,2025-02-11 12:52:40,0,2025-01-28 12:52:40,0,2,21
13,2025-02-11 12:52:40,0,2025-01-28 12:52:40,0,1,70
13,2025-02-11 12:52:40,0,2025-01-28 12:52:40,0,2,30
14,2025-02-11 12:52:40,0,2025-02-07 12:52:40,0,1,24
14,2025-02-11 12:52:40,0,2025-02-07 12:52:40,0,2,43
15,2025-02-11 12:52:40,0,2025-01-31 12:52:40,1,1,63
15,2025-02-11 12:52:40,0,2025-01-31 12:52:40,1,2,40
16,2025-02-11 12:52:40,0,2025-02-01 12:52:40,0,1,47
16,2025-02-11 12:52:40,0,2025-02-01 12:52:40,0,2,82
17,2025-02-11 12:52:40,0,2025-02-01 12:52:40,1,1,83
17,2025-02-11 12:52:40,0,2025-02-01 12:52:40,1,2,61
18,2025-02-11 12:52:40,0,2025-01-28 12:52:40,1,1,54
18,2025-02-11 12:52:40,0,2025-01-28 12:52:40,1,2,77
19,2025-02-11 12:52:40,0,2025-01-29 12:52:40,0,1,73
19,2025-02-11 12:52:40,1,2025-01-29 12:52:40,0,2,98
20,2025-02-11 12:52:40,0,2025-02-01 12:52:40,1,1,22
20,2025-02-11 12:52:40,0,2025-02-01 12:52:40,1,2,36
21,2025-02-11 12:52:40,0,2025-02-01 12:52:40,0,1,74
21,2025-02-11 12:52:40,1,2025-02-01 12:52:40,0,2,98
22,2025-02-11 12:52:40,0,2025-02-03 12:52:40,0,1,55
22,2025-02-11 12:52:40,0,2025-02-03 12:52:40,0,2,65
23,2025-02-11 12:52:40,0,2025-01-30 12:52:40,0,1,62
23,2025-02-11 12:52:40,0,2025-01-30 12:52:40,0,2,65
24,2025-02-11 12:52:40,0,2025-01-30 12:52:40,1,1,33
