ID,Date,Overflow,lastEmptied,wasAccessible,Compartment,fillPercentage
1,2025-03-18 12:41:48,0,2025-03-05 12:51:35,0,1,46
1,2025-03-18 12:41:48,0,2025-03-05 12:51:35,0,2,1
2,2025-03-18 12:41:48,0,2025-03-13 12:51:35,0,1,65
2,2025-03-18 12:41:48,0,2025-03-13 12:51:35,0,2,60
3,2025-03-18 12:41:48,0,2025-03-05 12:51:35,0,1,14
3,2025-03-18 12:41:48,0,2025-03-05 12:51:35,0,2,40
4,2025-03-18 12:41:48,0,2025-03-11 12:51:35,0,1,65
4,2025-03-18 12:41:48,0,2025-03-11 12:51:35,0,2,45
5,2025-03-18 12:41:48,0,2025-03-15 12:51:35,0,1,47
5,2025-03-18 12:41:48,0,2025-03-15 12:51:35,0,2,50
6,2025-03-18 12:41:48,0,2025-03-09 12:51:35,1,1,90
6,2025-03-18 12:41:48,0,2025-03-09 12:51:35,1,2,88
7,2025-03-18 12:41:48,1,2025-03-04 12:51:35,0,1,99
7,2025-03-18 12:41:48,1,2025-03-04 12:51:35,0,2,98
8,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,1,71
8,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,2,88
9,2025-03-18 12:41:48,0,2025-03-17 12:51:35,1,1,42
9,2025-03-18 12:41:48,0,2025-03-17 12:51:35,1,2,93
10,2025-03-18 12:41:48,0,2025-03-06 12:51:35,1,1,15
10,2025-03-18 12:41:48,0,2025-03-06 12:51:35,1,2,66
11,2025-03-18 12:41:48,0,2025-03-17 12:51:35,1,1,89
11,2025-03-18 12:41:48,0,2025-03-17 12:51:35,1,2,23
12,2025-03-18 12:41:48,0,2025-03-04 12:51:35,1,1,32
12,2025-03-18 12:41:48,0,2025-03-04 12:51:35,1,2,70
13,2025-03-18 12:41:48,0,2025-03-12 12:51:35,1,1,22
13,2025-03-18 12:41:48,0,2025-03-12 12:51:35,1,2,78
14,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,1,15
14,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,2,24
15,2025-03-18 12:41:48,1,2025-03-06 12:51:35,0,1,99
15,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,2,32
16,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,1,80
16,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,2,2
17,2025-03-18 12:41:48,1,2025-03-15 12:51:35,1,1,97
17,2025-03-18 12:41:48,0,2025-03-15 12:51:35,1,2,78
18,2025-03-18 12:41:48,0,2025-03-06 12:51:35,1,1,61
18,2025-03-18 12:41:48,0,2025-03-06 12:51:35,1,2,19
19,2025-03-18 12:41:48,0,2025-03-17 12:51:35,0,1,29
19,2025-03-18 12:41:48,0,2025-03-17 12:51:35,0,2,75
20,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,1,89
20,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,2,89
21,2025-03-18 12:41:48,0,2025-03-17 12:51:35,0,1,35
21,2025-03-18 12:41:48,0,2025-03-17 12:51:35,0,2,38
22,2025-03-18 12:41:48,0,2025-03-14 12:51:35,0,1,46
22,2025-03-18 12:41:48,0,2025-03-14 12:51:35,0,2,41
23,2025-03-18 12:41:48,0,2025-03-05 12:51:35,0,1,48
23,2025-03-18 12:41:48,0,2025-03-05 12:51:35,0,2,66
24,2025-03-18 12:41:48,0,2025-03-12 12:51:35,0,1,31
24,2025-03-18 12:41:48,0,2025-03-12 12:51:35,0,2,14
25,2025-03-18 12:41:48,0,2025-03-16 12:51:35,0,1,28
25,2025-03-18 12:41:48,0,2025-03-16 12:51:35,0,2,39
26,2025-03-18 12:41:48,0,2025-03-04 12:51:35,0,1,59
26,2025-03-18 12:41:48,0,2025-03-04 12:51:35,0,2,48
27,2025-03-18 12:41:48,0,2025-03-12 12:51:35,1,1,21
27,2025-03-18 12:41:48,0,2025-03-12 12:51:35,1,2,17
28,2025-03-18 12:41:48,1,2025-03-11 12:51:35,0,1,97
28,2025-03-18 12:41:48,0,2025-03-11 12:51:35,0,2,52
29,2025-03-18 12:41:48,0,2025-03-17 12:51:35,0,1,36
29,2025-03-18 12:41:48,0,2025-03-17 12:51:35,0,2,55
30,2025-03-18 12:41:48,0,2025-03-07 12:51:35,0,1,68
30,2025-03-18 12:41:48,0,2025-03-07 12:51:35,0,2,10
31,2025-03-18 12:41:48,0,2025-03-16 12:51:35,1,1,39
31,2025-03-18 12:41:48,0,2025-03-16 12:51:35,1,2,19
32,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,1,59
32,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,2,10
33,2025-03-18 12:41:48,0,2025-03-11 12:51:35,0,1,84
33,2025-03-18 12:41:48,0,2025-03-11 12:51:35,0,2,66
34,2025-03-18 12:41:48,0,2025-03-12 12:51:35,1,1,67
34,2025-03-18 12:41:48,0,2025-03-12 12:51:35,1,2,54
35,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,1,68
35,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,2,2
36,2025-03-18 12:41:48,0,2025-03-12 12:51:35,0,1,87
36,2025-03-18 12:41:48,0,2025-03-12 12:51:35,0,2,11
37,2025-03-18 12:41:48,0,2025-03-16 12:51:35,1,1,69
37,2025-03-18 12:41:48,0,2025-03-16 12:51:35,1,2,39
38,2025-03-18 12:41:48,0,2025-03-15 12:51:35,0,1,60
38,2025-03-18 12:41:48,0,2025-03-15 12:51:35,0,2,1
39,2025-03-18 12:41:48,0,2025-03-15 12:51:35,1,1,55
39,2025-03-18 12:41:48,0,2025-03-15 12:51:35,1,2,69
40,2025-03-18 12:41:48,0,2025-03-08 12:51:35,0,1,27
40,2025-03-18 12:41:48,0,2025-03-08 12:51:35,0,2,29
41,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,1,5
41,2025-03-18 12:41:48,0,2025-03-06 12:51:35,0,2,93
42,2025-03-18 12:41:48,0,2025-03-13 12:51:35,1,1,25
42,2025-03-18 12:41:48,0,2025-03-13 12:51:35,1,2,30
43,2025-03-18 12:41:48,0,2025-03-16 12:51:35,1,1,14
43,2025-03-18 12:41:48,0,2025-03-16 12:51:35,1,2,60
44,2025-03-18 12:41:48,0,2025-03-13 12:51:35,1,1,68
44,2025-03-18 12:41:48,0,2025-03-13 12:51:35,1,2,56
45,2025-03-18 12:41:48,0,2025-03-16 12:51:35,0,1,70
45,2025-03-18 12:41:48,0,2025-03-16 12:51:35,0,2,23
46,2025-03-18 12:41:48,0,2025-03-15 12:51:35,1,1,39
46,2025-03-18 12:41:48,0,2025-03-15 12:51:35,1,2,82
47,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,1,83
47,2025-03-18 12:41:48,0,2025-03-14 12:51:35,1,2,5
48,2025-03-18 12:41:48,0,2025-03-09 12:51:35,1,1,24
48,2025-03-18 12:41:48,0,2025-03-09 12:51:35,1,2,53
49,2025-03-18 12:41:48,0,2025-03-10 12:51:35,1,1,16
49,2025-03-18 12:41:48,0,2025-03-10 12:51:35,1,2,11
50,2025-03-18 12:41:48,0,2025-03-10 12:51:35,0,1,90
50,2025-03-18 12:41:48,0,2025-03-10 12:51:35,0,2,35
