ID,Date,Overflow,lastEmptied,wasAccessible,Compartment,fillPercentage
1,2025-03-04 12:52:40,0,2025-02-26 12:52:40,0,1,19
1,2025-03-04 12:52:40,0,2025-02-26 12:52:40,0,2,42
2,2025-03-04 12:52:40,0,2025-02-25 12:52:40,0,1,78
2,2025-03-04 12:52:40,0,2025-02-25 12:52:40,0,2,49
3,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,1,37
3,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,2,40
4,2025-03-04 12:52:40,0,2025-02-27 12:52:40,1,1,27
4,2025-03-04 12:52:40,0,2025-02-27 12:52:40,1,2,90
5,2025-03-04 12:52:40,1,2025-02-23 12:52:40,0,1,98
5,2025-03-04 12:52:40,0,2025-02-23 12:52:40,0,2,74
6,2025-03-04 12:52:40,0,2025-02-21 12:52:40,1,1,92
6,2025-03-04 12:52:40,1,2025-02-21 12:52:40,1,2,99
7,2025-03-04 12:52:40,0,2025-02-23 12:52:40,0,1,73
7,2025-03-04 12:52:40,1,2025-02-23 12:52:40,0,2,100
8,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,1,77
8,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,2,47
9,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,1,46
9,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,2,19
10,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,1,79
10,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,2,11
11,2025-03-04 12:52:40,0,2025-02-28 12:52:40,0,1,4
11,2025-03-04 12:52:40,0,2025-02-28 12:52:40,0,2,16
12,2025-03-04 12:52:40,0,2025-02-23 12:52:40,0,1,26
12,2025-03-04 12:52:40,0,2025-02-23 12:52:40,0,2,46
13,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,1,88
13,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,2,80
14,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,1,3
14,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,2,31
15,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,1,22
15,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,2,37
16,2025-03-04 12:52:40,0,2025-02-28 12:52:40,0,1,22
16,2025-03-04 12:52:40,0,2025-02-28 12:52:40,0,2,62
17,2025-03-04 12:52:40,0,2025-02-24 12:52:40,0,1,10
17,2025-03-04 12:52:40,0,2025-02-24 12:52:40,0,2,57
18,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,1,62
18,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,2,45
19,2025-03-04 12:52:40,0,2025-02-23 12:52:40,1,1,8
19,2025-03-04 12:52:40,0,2025-02-23 12:52:40,1,2,15
20,2025-03-04 12:52:40,0,2025-02-26 12:52:40,1,1,29
20,2025-03-04 12:52:40,0,2025-02-26 12:52:40,1,2,53
21,2025-03-04 12:52:40,0,2025-02-23 12:52:40,1,1,24
21,2025-03-04 12:52:40,0,2025-02-23 12:52:40,1,2,45
22,2025-03-04 12:52:40,0,2025-02-27 12:52:40,0,1,51
22,2025-03-04 12:52:40,0,2025-02-27 12:52:40,0,2,7
23,2025-03-04 12:52:40,0,2025-02-22 12:52:40,1,1,59
23,2025-03-04 12:52:40,0,2025-02-22 12:52:40,1,2,72
24,2025-03-04 12:52:40,0,2025-02-24 12:52:40,1,1,15
24,2025-03-04 12:52:40,0,2025-02-24 12:52:40,1,2,7
25,2025-03-04 12:52:40,0,2025-02-22 12:52:40,0,1,62
25,2025-03-04 12:52:40,0,2025-02-22 12:52:40,0,2,77
26,2025-03-04 12:52:40,0,2025-03-02 12:52:40,0,1,48
26,2025-03-04 12:52:40,1,2025-03-02 12:52:40,0,2,98
27,2025-03-04 12:52:40,0,2025-02-20 12:52:40,0,1,14
27,2025-03-04 12:52:40,0,2025-02-20 12:52:40,0,2,33
28,2025-03-04 12:52:40,0,2025-02-27 12:52:40,0,1,9
28,2025-03-04 12:52:40,0,2025-02-27 12:52:40,0,2,33
29,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,1,41
29,2025-03-04 12:52:40,0,2025-03-02 12:52:40,1,2,47
30,2025-03-04 12:52:40,0,2025-03-01 12:52:40,1,1,43
30,2025-03-04 12:52:40,0,2025-03-01 12:52:40,1,2,15
31,2025-03-04 12:52:40,0,2025-02-28 12:52:40,1,1,15
31,2025-03-04 12:52:40,0,2025-02-28 12:52:40,1,2,39
32,2025-03-04 12:52:40,0,2025-02-21 12:52:40,1,1,55
32,2025-03-04 12:52:40,0,2025-02-21 12:52:40,1,2,53
33,2025-03-04 12:52:40,0,2025-02-20 12:52:40,0,1,61
33,2025-03-04 12:52:40,0,2025-02-20 12:52:40,0,2,40
34,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,1,72
34,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,2,75
35,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,1,72
35,2025-03-04 12:52:40,0,2025-02-19 12:52:40,0,2,3
36,2025-03-04 12:52:40,0,2025-02-22 12:52:40,1,1,55
36,2025-03-04 12:52:40,0,2025-02-22 12:52:40,1,2,15
37,2025-03-04 12:52:40,0,2025-03-02 12:52:40,0,1,64
37,2025-03-04 12:52:40,0,2025-03-02 12:52:40,0,2,93
38,2025-03-04 12:52:40,0,2025-03-01 12:52:40,1,1,59
38,2025-03-04 12:52:40,0,2025-03-01 12:52:40,1,2,77
39,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,1,92
39,2025-03-04 12:52:40,0,2025-02-21 12:52:40,0,2,68
40,2025-03-04 12:52:40,0,2025-02-26 12:52:40,0,1,81
40,2025-03-04 12:52:40,0,2025-02-26 12:52:40,0,2,89
41,2025-03-04 12:52:40,0,2025-02-22 12:52:40,0,1,62
41,2025-03-04 12:52:40,0,2025-02-22 12:52:40,0,2,54
42,2025-03-04 12:52:40,0,2025-02-22 12:52:40,1,1,80
42,2025-03-04 12:52:40,0,2025-02-22 12:52:40,1,2,85
43,2025-03-04 12:52:40,0,2025-02-18 12:52:40,1,1,33
43,2025-03-04 12:52:40,0,2025-02-18 12:52:40,1,2,33
44,2025-03-04 12:52:40,0,2025-02-18 12:52:40,0,1,93
44,2025-03-04 12:52:40,0,2025-02-18 12:52:40,0,2,7
45,2025-03-04 12:52:40,0,2025-02-24 12:52:40,0,1,29
45,2025-03-04 12:52:40,0,2025-02-24 12:52:40,0,2,85
46,2025-03-04 12:52:40,0,2025-02-24 12:52:40,0,1,50
46,2025-03-04 12:52:40,0,2025-02-24 12:52:40,0,2,47
47,2025-03-04 12:52:40,0,2025-02-19 12:52:40,1,1,46
47,2025-03-04 12:52:40,1,2025-02-19 12:52:40,1,2,98
48,2025-03-04 12:52:40,0,2025-02-27 12:52:40,1,1,88
48,2025-03-04 12:52:40,0,2025-02-27 12:52:40,1,2,76
49,2025-03-04 12:52:40,0,2025-02-24 12:52:40,1,1,67
49,2025-03-04 12:52:40,0,2025-02-24 12:52:40,1,2,12
50,2025-03-04 12:52:40,0,2025-02-26 12:52:40,1,1,79
50,2025-03-04 12:52:40,0,2025-02-26 12:52:40,1,2,67
