ID,Date,Overflow,lastEmptied,wasAccessible,Compartment,fillPercentage
1,2025-01-28 12:52:40,0,2025-01-14 12:52:40,0,1,46
1,2025-01-28 12:52:40,0,2025-01-14 12:52:40,0,2,47
2,2025-01-28 12:52:40,0,2025-01-27 12:52:40,1,1,69
2,2025-01-28 12:52:40,0,2025-01-27 12:52:40,1,2,24
3,2025-01-28 12:52:40,1,2025-01-21 12:52:40,1,1,98
3,2025-01-28 12:52:40,1,2025-01-21 12:52:40,1,2,99
4,2025-01-28 12:52:40,0,2025-01-15 12:52:40,1,1,59
4,2025-01-28 12:52:40,0,2025-01-15 12:52:40,1,2,52
5,2025-01-28 12:52:40,0,2025-01-20 12:52:40,1,1,69
5,2025-01-28 12:52:40,0,2025-01-20 12:52:40,1,2,60
6,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,1,5
6,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,2,68
7,2025-01-28 12:52:40,0,2025-01-17 12:52:40,0,1,6
7,2025-01-28 12:52:40,0,2025-01-17 12:52:40,0,2,31
8,2025-01-28 12:52:40,0,2025-01-21 12:52:40,1,1,75
8,2025-01-28 12:52:40,0,2025-01-21 12:52:40,1,2,62
9,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,1,24
9,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,2,12
10,2025-01-28 12:52:40,0,2025-01-15 12:52:40,0,1,16
10,2025-01-28 12:52:40,1,2025-01-15 12:52:40,0,2,96
11,2025-01-28 12:52:40,0,2025-01-15 12:52:40,0,1,54
11,2025-01-28 12:52:40,0,2025-01-15 12:52:40,0,2,78
12,2025-01-28 12:52:40,0,2025-01-24 12:52:40,1,1,36
12,2025-01-28 12:52:40,0,2025-01-24 12:52:40,1,2,87
13,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,1,55
13,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,2,54
14,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,1,29
14,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,2,2
15,2025-01-28 12:52:40,0,2025-01-24 12:52:40,0,1,67
15,2025-01-28 12:52:40,0,2025-01-24 12:52:40,0,2,16
16,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,1,23
16,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,2,56
17,2025-01-28 12:52:40,1,2025-01-17 12:52:40,0,1,99
17,2025-01-28 12:52:40,0,2025-01-17 12:52:40,0,2,34
18,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,1,55
18,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,2,37
19,2025-01-28 12:52:40,0,2025-01-24 12:52:40,0,1,76
19,2025-01-28 12:52:40,0,2025-01-24 12:52:40,0,2,86
20,2025-01-28 12:52:40,0,2025-01-14 12:52:40,1,1,79
20,2025-01-28 12:52:40,0,2025-01-14 12:52:40,1,2,0
21,2025-01-28 12:52:40,0,2025-01-24 12:52:40,0,1,92
21,2025-01-28 12:52:40,0,2025-01-24 12:52:40,0,2,9
22,2025-01-28 12:52:40,0,2025-01-19 12:52:40,0,1,45
22,2025-01-28 12:52:40,0,2025-01-19 12:52:40,0,2,8
23,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,1,63
23,2025-01-28 12:52:40,0,2025-01-25 12:52:40,0,2,27
24,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,1,17
24,2025-01-28 12:52:40,0,2025-01-25 12:52:40,1,2,36
25,2025-01-28 12:52:40,0,2025-01-27 12:52:40,0,1,43
